frn,pi_name,wos_uid,title,first_author,pmid,doi,pub_year,pub_month,grant_start_date,grant_end_date,grant_type,institution,total_amount,competition_year,num_other_fundings,other_funding_names,primary_theme
120769,Ali Akoum,WOS:000390951000028,Augmented Angiogenic Factors Expression via FP Signaling Pathways in Peritoneal Endometriosis,"Rakhila, Halima",MEDLINE:27726474,10.1210/jc.2016-1569,2016,12,3/1/2012,2/28/2013,Operating Grant,Université Laval,100000,201112,2,"Fonds de Recherche Qubec-Sante (FRQS), Reseau Quebecois en Reproduction (RQR)",Clinical
120769,Ali Akoum,WOS:000379629600001,Promotion of angiogenesis and proliferation cytokines patterns in peritoneal fluid from women with endometriosis.,"Rakhila, Halima",,10.1016/j.jri.2016.01.005,2016,8,3/1/2012,2/28/2013,Operating Grant,Université Laval,100000,201112,0,,Clinical
120769,Ali Akoum,WOS:000358308600001,Abnormal Expression of Prostaglandins E2 and F2Î± Receptors and Transporters in Patients with Endometriosis,"Rakhila, Halima",MEDLINE:26240828,10.1155/2015/808146,2015,1,3/1/2012,2/28/2013,Operating Grant,Université Laval,100000,201112,2,"Canadian Institutes for Health Research MOP-123259, Reseau Quebecois en Reproduction",Clinical
120769,Ali Akoum,WOS:000345204100075,Macrophage Migration Inhibitory Factor Is Involved in Ectopic Endometrial Tissue Growth and Peritoneal-Endometrial Tissue Interaction <i>In Vivo</i>: A Plausible Link to Endometriosis Development,"Rakhila, Halima",MEDLINE:25329068,10.1371/journal.pone.0110434,2014,10,3/1/2012,2/28/2013,Operating Grant,Université Laval,100000,201112,2,"Canadian Institutes for Health Research MOP-123259, ""Reseau Quebecois en Reproduction (RQR)''",Clinical
120769,Ali Akoum,WOS:000327533000035,Identification of multiple and distinct defects in prostaglandin biosynthetic pathways in eutopic and ectopic endometrium of women with endometriosis,"Rakhila, Halima",MEDLINE:24035605,10.1016/j.fertnstert.2013.08.016,2013,12,3/1/2012,2/28/2013,Operating Grant,Université Laval,100000,201112,2,"Paladin Laboratory, Canadian Institutes for Health Research MOP-123259",Clinical
123259,Ali Akoum,WOS:000366396200003,Selective modulation of the prostaglandin F2Î± pathway markedly impacts on endometriosis progression in a xenograft mouse model,"Ahmad, Syed Furquan",MEDLINE:26472819,10.1093/molehr/gav056,2015,12,10/1/2012,3/31/2018,Operating Grant,Université Laval,786566,201112,3,"MRC Centre Grant G1002033, MRC G1002033, Medical Research Council G1002033",Clinical
123259,Ali Akoum,WOS:000358308600001,Abnormal Expression of Prostaglandins E2 and F2Î± Receptors and Transporters in Patients with Endometriosis,"Rakhila, Halima",MEDLINE:26240828,10.1155/2015/808146,2015,1,10/1/2012,3/31/2018,Operating Grant,Université Laval,786566,201112,2,"Canadian Institutes for Health Research MOP-120769, Reseau Quebecois en Reproduction",Clinical
123259,Ali Akoum,WOS:000345204100075,Macrophage Migration Inhibitory Factor Is Involved in Ectopic Endometrial Tissue Growth and Peritoneal-Endometrial Tissue Interaction <i>In Vivo</i>: A Plausible Link to Endometriosis Development,"Rakhila, Halima",MEDLINE:25329068,10.1371/journal.pone.0110434,2014,10,10/1/2012,3/31/2018,Operating Grant,Université Laval,786566,201112,2,"Canadian Institutes for Health Research MOP-120769, ""Reseau Quebecois en Reproduction (RQR)''",Clinical
123259,Ali Akoum,WOS:000327533000035,Identification of multiple and distinct defects in prostaglandin biosynthetic pathways in eutopic and ectopic endometrium of women with endometriosis,"Rakhila, Halima",MEDLINE:24035605,10.1016/j.fertnstert.2013.08.016,2013,12,10/1/2012,3/31/2018,Operating Grant,Université Laval,786566,201112,2,"Paladin Laboratory, Canadian Institutes for Health Research MOP-120769",Clinical
137431,Paul Yong,WOS:000482331900019,Plasminogen activator inhibitor-1 (PAI-1) expression in endometriosis,"Alotaibi, Fahad T.",MEDLINE:31315131,10.1371/journal.pone.0219064,2019,7,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,3,"Canadian Institutes of Health Research Operating Grants MOP-1442273, VGH and UBC Hospital Foundation, Michael Smith Foundation for Health Research Health Professional Investigator Award",Clinical
142273,Paul Yong,WOS:000459896500031,East and South East Asian Ethnicity and Moderate-to-Severe Endometriosis,"Williams, Christina",MEDLINE:29935381,10.1016/j.jmig.2018.06.009,2019,3,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,4,"Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive & Child Health Start-up Grant) from the Institute of Human Development, Child and Youth Health IHD-137431, VCHRI Investigator Award by the VGH, UBC Hospital Foundation",Clinical
137431,Paul Yong,WOS:000459896500031,East and South East Asian Ethnicity and Moderate-to-Severe Endometriosis,"Williams, Christina",MEDLINE:29935381,10.1016/j.jmig.2018.06.009,2019,3,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,4,"Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive & Child Health Start-up Grant) from the Institute of Human Development, CIHR Transitional Open Operating Grant MOP-142273, VCHRI Investigator Award by the VGH, UBC Hospital Foundation",Clinical
137431,Paul Yong,WOS:000456095100012,Prospective Cohort of Deep Dyspareunia in an Interdisciplinary Setting,"Yong, Paul J.",MEDLINE:30446474,10.1016/j.jsxm.2018.10.005,2018,12,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,5,"Canadian Institutes of Health Research MOP-142273, BC Women's Hospital and Health Center Foundation, Women's Health Research Institute (WHRI), Vancouver General Hospital, UBC Hospital Foundation (Mentored Clinician Scientist Award from the Vancouver Coastal Health Research Institute)",Clinical
137431,Paul Yong,WOS:000419218600014,Chronic pelvic pain in an interdisciplinary setting: 1-year prospective cohort,"Allaire, Catherine",MEDLINE:29031895,10.1016/j.ajog.2017.10.002,2018,1,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,4,"Canadian Institutes of Health Research MOP-142273, BC Women's Hospital and Health Center Foundation, Women's Health Research Institute, VGH and UBC Hospital Foundation (Mentored Clinician Scientist Award from the Vancouver Coastal Health Research Institute)",Clinical
