frn,amount_paid,financial_year,fy_start_date
120769,100000,2011,4/1/2011
123259,69748,2012,4/1/2012
123259,140801,2013,4/1/2013
123259,142702,2014,4/1/2014
123259,143892,2015,4/1/2015
123259,145080,2016,4/1/2016
123259,144343,2017,4/1/2017
137431,100000,2014,4/1/2014
142230,112581,2015,4/1/2015
142230,126175,2016,4/1/2016
142230,140621,2017,4/1/2017
142230,143391,2018,4/1/2018
142230,146243,2019,4/1/2019
142230,177891,2020,4/1/2020
142273,75008,2015,4/1/2015
142273,91989,2016,4/1/2016
142273,93415,2017,4/1/2017
142273,22456,2018,4/1/2018
153625,17500,2017,4/1/2017
154290,525321,2017,4/1/2017
154290,722284,2018,4/1/2018
154290,370459,2019,4/1/2019
154290,417506,2020,4/1/2020
154290,64237,2021,4/1/2021
154290,98284,2022,4/1/2022
154290,400998,2023,4/1/2023
154290,100743,2024,4/1/2024
156084,203521.67,2018,4/1/2018
156084,284930.33,2019,4/1/2019
156084,269698,2020,4/1/2020
156084,244226,2021,4/1/2021
183713,155192,2022,4/1/2022
183713,196031,2023,4/1/2023
183713,196031,2024,4/1/2024
183713,179695,2025,4/1/2025
187578,35000,2023,4/1/2023
187578,80000,2024,4/1/2024
