frn,amount_paid,financial_year,fy_start_date
120769,100000.0,2011,4/1/2011
123259,69748.0,2012,4/1/2012
123259,140801.0,2013,4/1/2013
123259,142702.0,2014,4/1/2014
123259,143892.0,2015,4/1/2015
123259,145080.0,2016,4/1/2016
123259,144343.0,2017,4/1/2017
137431,100000.0,2014,4/1/2014
142230,112581.0,2015,4/1/2015
142230,126175.0,2016,4/1/2016
142230,140621.0,2017,4/1/2017
142230,143391.0,2018,4/1/2018
142230,146243.0,2019,4/1/2019
142230,177891.0,2020,4/1/2020
142273,75008.0,2015,4/1/2015
142273,91989.0,2016,4/1/2016
142273,93415.0,2017,4/1/2017
142273,22456.0,2018,4/1/2018
153625,17500.0,2017,4/1/2017
154290,525321.0,2017,4/1/2017
154290,722284.0,2018,4/1/2018
154290,370459.0,2019,4/1/2019
154290,417506.0,2020,4/1/2020
154290,64237.0,2021,4/1/2021
154290,98284.0,2022,4/1/2022
154290,400998.0,2023,4/1/2023
154290,100743.0,2024,4/1/2024
156084,203521.67,2018,4/1/2018
156084,284930.33,2019,4/1/2019
156084,269698.0,2020,4/1/2020
156084,244226.0,2021,4/1/2021
183713,155192.0,2022,4/1/2022
183713,196031.0,2023,4/1/2023
183713,196031.0,2024,4/1/2024
183713,179695.0,2025,4/1/2025
187578,35000.0,2023,4/1/2023
187578,80000.0,2024,4/1/2024
53201,142940.0,2007,4/1/2007
53201,142940.0,2008,4/1/2008
53201,142940.0,2009,4/1/2009
91120,25000.0,2008,4/1/2008
91120,13333.0,2009,4/1/2009
102425,41667.0,2010,4/1/2010
102425,10000.0,2011,4/1/2011
114918,48341.0,2011,4/1/2011
114918,96682.0,2012,4/1/2012
114918,96682.0,2013,4/1/2013
114918,96682.0,2014,4/1/2014
114918,96682.0,2015,4/1/2015
114918,48341.0,2016,4/1/2016
121186,50000.0,2012,4/1/2012
121186,50000.0,2013,4/1/2013
121186,50000.0,2014,4/1/2014
129657,24988.0,2013,4/1/2013
130102,17500.0,2013,4/1/2013
134043,100000.0,2013,4/1/2013
152953,123930.0,2017,4/1/2017
152953,123930.0,2018,4/1/2018
152953,123930.0,2019,4/1/2019
152953,136856.0,2020,4/1/2020
152953,123930.0,2021,4/1/2021
153708,17500.0,2017,4/1/2017
153905,17500.0,2017,4/1/2017
158688,17500.0,2018,4/1/2018
158820,17500.0,2018,4/1/2018
161354,14583.0,2018,4/1/2018
161354,35000.0,2019,4/1/2019
161354,59067.0,2020,4/1/2020
165312,17500.0,2019,4/1/2019
165312,5833.0,2020,4/1/2020
165342,17500.0,2019,4/1/2019
165342,5833.0,2020,4/1/2020
165364,17500.0,2019,4/1/2019
165364,5833.0,2020,4/1/2020
168271,10000.0,2019,4/1/2019
169731,50000.0,2019,4/1/2019
169731,5215.0,2020,4/1/2020
169734,49997.0,2019,4/1/2019
172273,17500.0,2020,4/1/2020
175113,173655.0,2021,4/1/2021
175113,173655.0,2022,4/1/2022
175113,173655.0,2023,4/1/2023
175113,173655.0,2024,4/1/2024
175113,173655.0,2025,4/1/2025
175982,35000.0,2021,4/1/2021
175982,35000.0,2022,4/1/2022
177003,17500.0,2021,4/1/2021
179822,100000.0,2021,4/1/2021
179880,500000.0,2021,4/1/2021
182379,17500.0,2022,4/1/2022
182913,17500.0,2022,4/1/2022
184514,120000.0,2022,4/1/2022
184514,120000.0,2023,4/1/2023
184514,120000.0,2024,4/1/2024
184514,120000.0,2025,4/1/2025
185779,100000.0,2022,4/1/2022
185853,100000.0,2023,4/1/2023
185854,100000.0,2023,4/1/2023
186322,100000.0,2022,4/1/2022
188442,17500.0,2023,4/1/2023
188442,3167.0,2024,4/1/2024
189817,17500.0,2023,4/1/2023
189967,129509.0,2023,4/1/2023
189967,182835.0,2024,4/1/2024
189967,182835.0,2025,4/1/2025
190104,85106.0,2023,4/1/2023
190104,170213.0,2024,4/1/2024
190104,170213.0,2025,4/1/2025
190270,56897.0,2023,4/1/2023
190270,113794.0,2024,4/1/2024
190270,113794.0,2025,4/1/2025
191337,150000.0,2023,4/1/2023
192007,211649.0,2024,4/1/2024
192007,211649.0,2025,4/1/2025
192791,50000.0,2024,4/1/2024
192791,100000.0,2025,4/1/2025
192826,74967.0,2023,4/1/2023
196207,200000.0,2024,4/1/2024
196207,206666.0,2025,4/1/2025
196211,200000.0,2024,4/1/2024
196211,206666.0,2025,4/1/2025
196213,200000.0,2024,4/1/2024
196213,206665.0,2025,4/1/2025
198118,242505.0,2025,4/1/2025
198185,211140.0,2025,4/1/2025
200244,121017.0,2024,4/1/2024
201666,27000.0,2025,4/1/2025
202136,27000.0,2025,4/1/2025
202217,27000.0,2025,4/1/2025
203274,6000.0,2025,4/1/2025
203798,182550.0,2025,4/1/2025
204475,27000.0,2025,4/1/2025
205045,39375.0,2025,4/1/2025
206910,3500.0,2025,4/1/2025
